Doc No,SubTotal,Total,Invoice Vendor No,Invoice Vendor Date Format (YYYY-MM-DD),Payment Date Format (YYYY-MM-DD),UUID,Remarks
OPRC-DLV0000413,241.957,280.67,,,,,
OPRC-DLV0000419,1079.22,1251.89,,,,,
OPRC-DLV0000421,319.75,370.91,,,,,
OPRC-DLV0000422,523.724,607.52,,,,,
OPRC-DLV0000424,0,0,,,,,
OPRC-DLV0000439,392.75,455.59,,,,,
OPRC-DLV0000483,241.81,280.5,,,,,
OPRC-DLV0000484,291.103,337.68,,,,,
OPRC-DLV0000485,220.948,256.3,,,,,
OPRC-DLV0000486,165.31,191.76,,,,,
OPRC-DLV0000487,178.328,206.86,,,,,
OPRC-DLV0000507,228.138,264.64,,,,,
OPRC-DLV0000508,198.474,230.23,,,,,
OPRC-DLV0000511,530.509,615.39,,,,,
OPRC-DLV0000519,241.957,280.67,,,,,
OPRC-DLV0000522,545.69,633,,,,,
OPRC-DLV0000528,1769.84,2053.02,,,,,
OPRC-DLV0000552,682.759,792,,,,,
OPRC-DLV0000560,861.345,999.16,,,,,
OPRC-DLV0000564,443.397,514.34,,,,,
OPRC-DLV0000566,165.31,191.76,,,,,
OPRC-DLV0000567,1596.85,1852.35,,,,,
OPRC-DLV0000586,817.448,948.24,,,,,
OPRC-DLV0000598,485.172,562.8,,,,,
OPRC-DLV0000626,204.5,237.22,,,,,
OPRC-DLV0000629,546.397,633.82,,,,,
OPRC-DLV0000630,252,292.32,,,,,
OPRC-DLV0000631,424.293,492.18,,,,,
OPRC-DLV0000632,290.345,336.8,,,,,
OPRC-DLV0000634,1274.49,1478.41,,,,,
OPRC-DLV0000649,241.957,280.67,,,,,
OPRC-DLV0000654,409.448,474.96,,,,,
OPRC-DLV0000659,505.741,586.66,,,,,
OPRC-DLV0000660,1490.72,1729.23,,,,,
OPRC-DLV0000661,861.767,999.65,,,,,
OPRC-DLV0000662,198.897,230.72,,,,,
OPRC-DLV0000668,328.276,380.8,,,,,
OPRC-DLV0000687,94.2759,109.36,,,,,
OPRC-DLV0000693,165.31,191.76,,,,,
OPRC-DLV0000704,803.009,931.49,,,,,
OPRC-DLV0000706,94.2759,109.36,,,,,
OPRC-DLV0000711,231.81,268.9,,,,,
OPRC-DLV0000718,295.172,342.4,,,,,
OPRC-DLV0000723,277.44,321.83,,,,,
OPRC-DLV0000726,173.112,200.81,,,,,
OPRC-DLV0000745,189.931,220.32,,,,,
OPRC-DLV0000746,402.491,466.89,,,,,
OPRC-DLV0000787,605.19,702.02,,,,,
OPRC-DLV0000788,241.957,280.67,,,,,
OPRC-DLV0000791,562.25,652.21,,,,,
OPRC-DLV0000799,359.172,416.64,,,,,
OPRC-DLV0000804,414.698,481.05,,,,,
